Datetime,Occupancy
2019/11/20 8:01,24
2019/11/20 8:33,24
2019/11/20 8:59,23
2019/11/20 9:27,23
2019/11/20 10:00,23
2019/11/20 10:30,23
2019/11/20 11:00,23
2019/11/20 11:30,23
2019/11/20 12:00,22
2019/11/20 12:30,23
2019/11/20 13:00,23
2019/11/20 13:30,21
2019/11/20 14:00,21
2019/11/20 14:30,21
2019/11/20 15:00,21
2019/11/20 15:30,21
2019/11/20 16:00,23
2019/11/20 16:30,23
2019/11/21 8:00,24
2019/11/21 8:30,23
2019/11/21 9:00,24
2019/11/21 9:30,22
2019/11/22 18:38,21
2019/11/22 18:39,21
2019/11/22 18:46,21
2019/11/22 18:48,21
2019/11/22 18:51,21
2019/11/22 18:53,21
2019/11/22 18:55,22
2019/11/22 18:58,21
